country,sum,count,Prevalence (%),CI Lower (%),CI Upper (%),Gene
Argentina,0,28,0.0,1.3877787807814457e-15,12.06433047658457,adc
Australia,7,25,28.0,14.283853850956557,47.57660519036158,adc
Bangladesh,0,22,0.0,0.0,14.865487460862095,adc
Belgium,0,68,0.0,0.0,5.347133652007057,adc
Brazil,0,55,0.0,0.0,6.5284901117086385,adc
Bulgaria,0,19,0.0,1.3877787807814457e-15,16.817922405261633,adc
Cameroon,0,25,0.0,0.0,13.319225093904855,adc
Canada,0,53,0.0,0.0,6.75819885765419,adc
China,5,1693,0.29533372711163614,0.12621286502528264,0.6895061727635482,adc
Cote d'Ivoire,0,12,0.0,0.0,24.249400665524096,adc
Czech Republic,0,24,0.0,0.0,13.797620467498026,adc
Denmark,0,22,0.0,0.0,14.865487460862095,adc
Egypt,0,12,0.0,0.0,24.249400665524096,adc
Finland,5,34,14.705882352941176,6.449441444782457,30.128056495452167,adc
France,0,128,0.0,0.0,2.913695627350843,adc
Georgia,0,11,0.0,0.0,25.883296696803182,adc
Germany,0,104,0.0,0.0,3.5621354372451925,adc
Ghana,0,61,0.0,0.0,5.924386789811285,adc
Greece,0,58,0.0,0.0,6.211785578720294,adc
Hungary,0,14,0.0,2.7755575615628914e-15,21.531080273763585,adc
India,0,176,0.0,0.0,2.136025166768774,adc
Indonesia,0,15,0.0,0.0,20.388330103584867,adc
Ireland,0,15,0.0,0.0,20.388330103584867,adc
Italy,0,72,0.0,3.469446951953614e-16,5.065117259645782,adc
Japan,1,43,2.3255813953488373,0.41170872743337694,12.058993440607182,adc
Malaysia,0,17,0.0,0.0,18.431813500885184,adc
Mexico,0,25,0.0,0.0,13.319225093904855,adc
Nigeria,0,17,0.0,0.0,18.431813500885184,adc
Norway,0,40,0.0,0.0,8.762160119728668,adc
Pakistan,0,18,0.0,1.3877787807814457e-15,17.58792236466577,adc
Poland,0,67,0.0,0.0,5.422613939130181,adc
Portugal,0,40,0.0,0.0,8.762160119728668,adc
Russia,0,63,0.0,0.0,5.747119958885175,adc
Slovakia,0,10,0.0,0.0,27.753279986288927,adc
South Africa,0,65,0.0,3.469446951953614e-16,5.580153132285691,adc
South Korea,0,403,0.0,0.0,0.944215181960391,adc
Spain,0,40,0.0,0.0,8.762160119728668,adc
Sweden,0,25,0.0,0.0,13.319225093904855,adc
Switzerland,0,197,0.0,0.0,1.9126821938311445,adc
Taiwan,0,46,0.0,0.0,7.707356308558041,adc
Tanzania,0,32,0.0,0.0,10.717919825507066,adc
Thailand,0,55,0.0,0.0,6.5284901117086385,adc
Turkey,0,65,0.0,3.469446951953614e-16,5.580153132285691,adc
USA,17,444,3.828828828828829,2.4040581475897365,6.045686304463108,adc
United Kingdom,0,23,0.0,0.0,14.31166184504269,adc
Viet Nam,0,19,0.0,1.3877787807814457e-15,16.817922405261633,adc
Argentina,0,28,0.0,1.3877787807814457e-15,12.06433047658457,hdc
Australia,0,25,0.0,0.0,13.319225093904855,hdc
Bangladesh,0,22,0.0,0.0,14.865487460862095,hdc
Belgium,0,68,0.0,0.0,5.347133652007057,hdc
Brazil,0,55,0.0,0.0,6.5284901117086385,hdc
Bulgaria,0,19,0.0,1.3877787807814457e-15,16.817922405261633,hdc
Cameroon,0,25,0.0,0.0,13.319225093904855,hdc
Canada,0,53,0.0,0.0,6.75819885765419,hdc
