Biosample_ID,Isolation_source,Genus
SAMN02369442,Environmental,Agrilactobacillus
SAMD00760582,Food,Apilactobacillus
SAMN02369503,Food,Apilactobacillus
SAMN02981005,Gut,Apilactobacillus
SAMN03275719,Food,Apilactobacillus
SAMN04157996,Gut,Apilactobacillus
SAMN09779799,Food,Apilactobacillus
SAMN10754956,Gut,Apilactobacillus
SAMN11607714,Gut,Apilactobacillus
SAMN11831833,Environmental,Apilactobacillus
SAMN20557569,Environmental,Apilactobacillus
SAMN20804187,Environmental,Apilactobacillus
SAMN22863705,Food,Apilactobacillus
SAMN22863707,Food,Apilactobacillus
SAMN22863708,Food,Apilactobacillus
SAMN22863711,Food,Apilactobacillus
SAMN35742094,Food,Apilactobacillus
SAMN46257279,Animal,Apilactobacillus
SAMN22863706,Food,Apilactobacillus
SAMN19820174,Gut,Apilactobacillus
SAMN02369437,Food,Companilactobacillus
SAMN06434170,Food,Companilactobacillus
SAMEA114249605,Food,Companilactobacillus
SAMEA114249606,Food,Companilactobacillus
SAMN02369427,Food,Companilactobacillus
SAMN03703094,Gut,Companilactobacillus
SAMN03703113,Gut,Companilactobacillus
SAMN05913070,Food,Companilactobacillus
SAMN23424506,Feces,Companilactobacillus
SAMN42657848,Food,Companilactobacillus
SAMN09878808,Food,Companilactobacillus
SAMN11890478,Food,Companilactobacillus
SAMN10357349,Food,Companilactobacillus
SAMN02369457,Food,Companilactobacillus
SAMN06434172,Food,Companilactobacillus
SAMN02369463,Food,Companilactobacillus
SAMN14217440,Animal,Companilactobacillus
SAMN34019030,Environmental,Companilactobacillus
SAMN43031427,Gut,Companilactobacillus
SAMEA114249608,Food,Companilactobacillus
SAMEA114249609,Food,Companilactobacillus
SAMEA114249610,Food,Companilactobacillus
SAMEA114249611,Food,Companilactobacillus
SAMEA114249612,Food,Companilactobacillus
SAMEA114249613,Food,Companilactobacillus
SAMEA114249614,Food,Companilactobacillus
SAMEA114249616,Food,Companilactobacillus
SAMEA114249617,Food,Companilactobacillus
SAMN02369386,Food,Companilactobacillus
SAMN41754046,Clinical,Enterococcus
SAMEA115874888,Clinical,Enterococcus
SAMN33918501,Feces,Enterococcus
SAMN33918514,Feces,Enterococcus
SAMN36745655,Food,Enterococcus
SAMN40323361,Feces,Enterococcus
SAMN41754052,Clinical,Enterococcus
SAMN43558192,Feces,Enterococcus
SAMN43558199,Feces,Enterococcus
SAMN43558211,Feces,Enterococcus
SAMN43558212,Feces,Enterococcus
SAMN43558256,Feces,Enterococcus
SAMN43558261,Feces,Enterococcus
SAMD00645484,Environmental,Enterococcus
SAMEA115874891,Clinical,Enterococcus
SAMEA115874892,Clinical,Enterococcus
SAMEA115874915,Clinical,Enterococcus
SAMN10984499,Clinical,Enterococcus
SAMN10984511,Clinical,Enterococcus
SAMN10984512,Clinical,Enterococcus
SAMN10984517,Clinical,Enterococcus
SAMN13955256,Gut,Enterococcus
SAMN14389534,Feces,Enterococcus
SAMN14671187,Gut,Enterococcus
SAMN16630912,Animal,Enterococcus
SAMN18018086,Probiotics,Enterococcus
SAMN18018087,Probiotics,Enterococcus
SAMN21165409,Food,Enterococcus
SAMN21354879,Animal,Enterococcus
SAMN21354880,Animal,Enterococcus
SAMN27532960,Gut,Enterococcus
SAMN27532961,Animal,Enterococcus
SAMN27532965,Clinical,Enterococcus
SAMN27533561,Clinical,Enterococcus
SAMN28157106,Environmental,Enterococcus
SAMN29057967,Animal,Enterococcus
SAMN29057975,Animal,Enterococcus
SAMN32634347,Feces,Enterococcus
SAMN33169529,Environmental,Enterococcus
SAMN33169532,Environmental,Enterococcus
SAMN33169537,Environmental,Enterococcus
SAMN33571904,Environmental,Enterococcus
SAMN33579112,Environmental,Enterococcus
SAMN37642827,Animal,Enterococcus
SAMN38815018,Clinical,Enterococcus
SAMN41754020,Clinical,Enterococcus
SAMN41754050,Clinical,Enterococcus
SAMN41754083,Clinical,Enterococcus
SAMN42158193,Environmental,Enterococcus
SAMN43558168,Feces,Enterococcus
SAMN43558176,Feces,Enterococcus
SAMN43558188,Feces,Enterococcus
SAMN43558213,Feces,Enterococcus
SAMN43558245,Feces,Enterococcus
SAMN43558259,Feces,Enterococcus
SAMN43785052,Environmental,Enterococcus
SAMN43785053,Environmental,Enterococcus
SAMN43785055,Environmental,Enterococcus
SAMN43785057,Environmental,Enterococcus
SAMN43785058,Environmental,Enterococcus
SAMN43785059,Environmental,Enterococcus
SAMN43785060,Environmental,Enterococcus
SAMN43785061,Environmental,Enterococcus
SAMN43785062,Environmental,Enterococcus
SAMN43785063,Environmental,Enterococcus
SAMN43785064,Environmental,Enterococcus
SAMN43785065,Environmental,Enterococcus
SAMN43785066,Environmental,Enterococcus
SAMN43785067,Environmental,Enterococcus
SAMN43785068,Environmental,Enterococcus
SAMN43785069,Environmental,Enterococcus
SAMN43785070,Environmental,Enterococcus
SAMN43785071,Environmental,Enterococcus
SAMN43785073,Environmental,Enterococcus
SAMN43785074,Environmental,Enterococcus
SAMN43785075,Environmental,Enterococcus
SAMN43785077,Environmental,Enterococcus
SAMN43785078,Environmental,Enterococcus
SAMD00803709,Clinical,Enterococcus
SAMN18060126,Clinical,Enterococcus
SAMN18060127,Clinical,Enterococcus
SAMN34359462,Gut,Enterococcus
SAMN38750235,Clinical,Enterococcus
SAMN38750237,Clinical,Enterococcus
SAMN38750238,Clinical,Enterococcus
SAMN38750239,Clinical,Enterococcus
SAMN38750240,Clinical,Enterococcus
SAMN38750241,Clinical,Enterococcus
SAMN38750242,Clinical,Enterococcus
SAMN38750243,Clinical,Enterococcus
SAMN38750244,Clinical,Enterococcus
SAMN38750245,Clinical,Enterococcus
SAMN38750250,Clinical,Enterococcus
SAMN38750255,Food,Enterococcus
SAMN38750259,Food,Enterococcus
SAMN38750260,Clinical,Enterococcus
SAMN38750261,Food,Enterococcus
SAMN41597605,Clinical,Enterococcus
SAMN41597607,Clinical,Enterococcus
SAMN41597608,Clinical,Enterococcus
SAMN41597609,Clinical,Enterococcus
SAMN41597611,Clinical,Enterococcus
SAMN41597614,Clinical,Enterococcus
SAMN41597615,Clinical,Enterococcus
SAMN47197937,Clinical,Enterococcus
SAMN23424507,Feces,Enterococcus
SAMN30933858,Food,Enterococcus
SAMN23424483,Feces,Enterococcus
SAMN23424508,Feces,Enterococcus
SAMN23424509,Feces,Enterococcus
SAMN31565978,Environmental,Enterococcus
SAMN41754067,Clinical,Enterococcus
SAMN41754070,Clinical,Enterococcus
SAMN41754073,Clinical,Enterococcus
SAMN41754076,Clinical,Enterococcus
SAMN41754077,Clinical,Enterococcus
SAMN41754079,Clinical,Enterococcus
SAMN43785079,Environmental,Enterococcus
SAMN43785080,Environmental,Enterococcus
SAMN43785082,Environmental,Enterococcus
SAMN43785083,Environmental,Enterococcus
SAMN43785084,Environmental,Enterococcus
SAMN43785085,Environmental,Enterococcus
SAMN43785087,Environmental,Enterococcus
SAMN33713714,Gut,Enterococcus
SAMN33713717,Gut,Enterococcus
SAMN33713718,Gut,Enterococcus
SAMN43785056,Environmental,Enterococcus
SAMN43785076,Environmental,Enterococcus
SAMD00521555,Clinical,Enterococcus
SAMD00577373,Feces,Enterococcus
SAMD00577375,Feces,Enterococcus
SAMD00590027,Feces,Enterococcus
