accession,biosample_id,Bioproject,Organism,Starin,Isolation_source,Source_category,Isolation_country,Collection_Date
GCA_001046795,SAMN03703113,PRJNA284512,Companilactobacillus farciminis,CNCM-I-3699-S,goat rumen,Gut,France,1/1/1997
GCA_001188635,SAMN03703094,PRJNA284511,Companilactobacillus farciminis,CNCM-I-3699-R,rumen,Gut,France,1/1/1997
GCA_002406765,SAMN07665581,PRJNA407882,Lacticaseibacillus paracasei,B2,commercial probiotic,Probiotics,Canada,11/7/2016
GCA_002406785,SAMN07665577,PRJNA407882,Lacticaseibacillus rhamnosus,P3,commercial probiotic,Probiotics,Canada,11/7/2016
GCA_003966815,SAMD00117053,PRJDB6985,Latilactobacillus curvatus,NFH-Km12,kabura-zushi,Food,Japan,12/19/2009
GCA_004771035,SAMN10240960,PRJNA496424,Lactiplantibacillus plantarum,J26,traditional fermented dairy products in Inner Mongolia of China,Food,China,6/17/2008
GCA_009761085,SAMN08574375,PRJNA434783,Pediococcus acidilactici,NCDC 252,dairy origin,Food,India,2010
GCA_021892425,SAMN14372670,PRJNA612438,Lactiplantibacillus plantarum,IMAU30162,dairy product,Food,China,2004
GCA_021892455,SAMN14372669,PRJNA612438,Lactiplantibacillus plantarum,IMAU40082,dairy product,Food,China,2005
GCA_021892475,SAMN14372668,PRJNA612438,Lactiplantibacillus plantarum,IMAU80065,plant,Environmental,China,2008
GCA_021892515,SAMN14372666,PRJNA612438,Lactiplantibacillus plantarum,IMAU80597,dairy product,Food,China,2009
GCA_021892615,SAMN14372659,PRJNA612438,Lactiplantibacillus plantarum,IMAU80186,plant,Environmental,China,2008
GCA_021892635,SAMN14372662,PRJNA612438,Lactiplantibacillus plantarum,IMAU80297,dairy product,Food,China,2009
GCA_021892655,SAMN14372658,PRJNA612438,Lactiplantibacillus plantarum,IMAU80179,plant,Environmental,China,2008
GCA_021892715,SAMN14372656,PRJNA612438,Lactiplantibacillus plantarum,IMAU80169,plant,Environmental,China,2008
GCA_021892795,SAMN14372651,PRJNA612438,Lactiplantibacillus plantarum,IMAU80125,plant,Environmental,China,2008
GCA_021892805,SAMN14372652,PRJNA612438,Lactiplantibacillus plantarum,IMAU80128,plant,Environmental,China,2008
GCA_021892835,SAMN14372650,PRJNA612438,Lactiplantibacillus plantarum,IMAU80119,plant,Environmental,China,2008
GCA_021892905,SAMN14372646,PRJNA612438,Lactiplantibacillus plantarum,IMAU80063,plant,Environmental,China,2008
GCA_021892955,SAMN14372644,PRJNA612438,Lactiplantibacillus plantarum,IMAU80053,plant,Environmental,China,2008
GCA_021892975,SAMN14372643,PRJNA612438,Lactiplantibacillus plantarum,IMAU80045,plant,Environmental,China,2008
GCA_021892995,SAMN14372642,PRJNA612438,Lactiplantibacillus plantarum,IMAU80038,plant,Environmental,China,2008
GCA_021893055,SAMN14372637,PRJNA612438,Lactiplantibacillus plantarum,IMAU80006,plant,Environmental,China,2008
GCA_021893095,SAMN14372635,PRJNA612438,Lactiplantibacillus plantarum,IMAU70100,plant,Environmental,China,2008
GCA_021893115,SAMN14372638,PRJNA612438,Lactiplantibacillus plantarum,IMAU80007,plant,Environmental,China,2008
GCA_021893195,SAMN14372632,PRJNA612438,Lactiplantibacillus plantarum,IMAU70092,plant,Environmental,China,2008
GCA_021893205,SAMN14372630,PRJNA612438,Lactiplantibacillus plantarum,IMAU70090,plant,Environmental,China,2008
GCA_021893215,SAMN14372631,PRJNA612438,Lactiplantibacillus plantarum,IMAU70091,plant,Environmental,China,2008
GCA_021893225,SAMN14372633,PRJNA612438,Lactiplantibacillus plantarum,IMAU70095,plant,Environmental,China,2008
GCA_021893275,SAMN14372629,PRJNA612438,Lactiplantibacillus plantarum,IMAU70089,plant,Environmental,China,2008
GCA_021893315,SAMN14372628,PRJNA612438,Lactiplantibacillus plantarum,IMAU70088,plant,Environmental,China,2008
GCA_021893325,SAMN14372625,PRJNA612438,Lactiplantibacillus plantarum,IMAU70035,plant,Environmental,China,2008
GCA_021893355,SAMN14372624,PRJNA612438,Lactiplantibacillus plantarum,IMAU70023,plant,Environmental,China,2008
GCA_021893365,SAMN14372627,PRJNA612438,Lactiplantibacillus plantarum,IMAU70087,plant,Environmental,China,2008
GCA_021893395,SAMN14372623,PRJNA612438,Lactiplantibacillus plantarum,IMAU70010,plant,Environmental,China,2008
GCA_021893415,SAMN14372622,PRJNA612438,Lactiplantibacillus plantarum,IMAU70005,plant,Environmental,China,2008
GCA_021893495,SAMN14372616,PRJNA612438,Lactiplantibacillus plantarum,IMAU60051,dairy product,Food,China,2007
GCA_021893555,SAMN14372614,PRJNA612438,Lactiplantibacillus plantarum,IMAU60045,dairy product,Food,China,2007
GCA_021893575,SAMN14372615,PRJNA612438,Lactiplantibacillus plantarum,IMAU60049,dairy product,Food,China,2007
GCA_021893605,SAMN14372613,PRJNA612438,Lactiplantibacillus plantarum,IMAU40116,dairy product,Food,China,2005
GCA_021893615,SAMN14372612,PRJNA612438,Lactiplantibacillus plantarum,IMAU40100,dairy product,Food,China,2005
GCA_021893655,SAMN14372609,PRJNA612438,Lactiplantibacillus plantarum,IMAU40072,dairy product,Food,China,2005
GCA_021893675,SAMN14372610,PRJNA612438,Lactiplantibacillus plantarum,IMAU40089,dairy product,Food,China,2005
GCA_021893715,SAMN14372606,PRJNA612438,Lactiplantibacillus plantarum,IMAU40010,dairy product,Food,China,2005
GCA_021893765,SAMN14372608,PRJNA612438,Lactiplantibacillus plantarum,IMAU40070,dairy product,Food,China,2005
GCA_021893815,SAMN14372601,PRJNA612438,Lactiplantibacillus plantarum,IMAU30151,dairy product,Food,China,2004
GCA_021893825,SAMN14372598,PRJNA612438,Lactiplantibacillus plantarum,IMAU30106,dairy product,Food,China,2004
GCA_021893855,SAMN14372597,PRJNA612438,Lactiplantibacillus plantarum,IMAU30001,dairy product,Food,China,2004
GCA_021893955,SAMN14372592,PRJNA612438,Lactiplantibacillus plantarum,IMAU20063,dairy product,Food,Mongolia,2006
GCA_021893975,SAMN14372590,PRJNA612438,Lactiplantibacillus plantarum,IMAU20013,dairy product,Food,Mongolia,2003
GCA_021894055,SAMN14372586,PRJNA612438,Lactiplantibacillus plantarum,IMAU10585,dairy product,Food,China,2009
GCA_021894075,SAMN14372585,PRJNA612438,Lactiplantibacillus plantarum,IMAU10580,dairy product,Food,China,2009
GCA_021894275,SAMN14372574,PRJNA612438,Lactiplantibacillus plantarum,IMAU10239,plant,Environmental,China,2009
GCA_021894315,SAMN14372573,PRJNA612438,Lactiplantibacillus plantarum,IMAU10237,plant,Environmental,China,2009
GCA_021894335,SAMN14372572,PRJNA612438,Lactiplantibacillus plantarum,IMAU10236,plant,Environmental,China,2009
GCA_021894345,SAMN14372579,PRJNA612438,Lactiplantibacillus plantarum,IMAU10395,dairy product,Food,China,2009
GCA_021894355,SAMN14372570,PRJNA612438,Lactiplantibacillus plantarum,IMAU10228,plant,Environmental,China,2009
