genome	locus_tag	gene_gc_percent	genome_gc_percent	gene_gc_skew	genome_gc_skew	gc_diff	skew_diff
GCF_022806895	SAMN18060127_02040	39.656	35.4	0.1785	0.1374	4.257	0.0411
GCF_022806915	SAMN18060126_01716	39.725	35.442	0.1799	-0.1374	4.283	0.3173
GCF_029023825	SAMN33336516_02590	39.986	37.042	0.2007	-0.0028	2.944	0.2035
GCF_030371645	SAMN34359462_01074	40.344	36.069	0.1789	0.1232	4.274	0.0557
GCF_034425235	SAMN38750259_01893	39.794	36.271	0.1779	-0.1282	3.523	0.3061
GCF_034426815	SAMN38750238_01602	39.931	35.944	0.1876	0.1297	3.987	0.0579
GCF_034426935	SAMN38750241_01161	39.725	35.584	0.1799	-0.131	4.141	0.3109
GCF_034427075	SAMN38750239_00031	39.656	35.786	0.1889	-0.1092	3.87	0.2981
GCF_040104775	SAMN41597615_01158	40.275	35.243	0.1741	-0.1311	5.032	0.3052
GCF_040104895	SAMN41597609_01682	39.45	35.826	0.1847	0.1262	3.624	0.0585
GCF_040104975	SAMN41597605_01384	39.519	35.929	0.1791	-0.1314	3.59	0.3106
GCF_045866345	SAMD00803709_00620	39.863	36.532	0.1828	0	3.33	0.1828
GCF_047549495	SAMN46493273_01966	40.535	37.084	0.1912	-0.0095	3.451	0.2007
GCF_048685875	SAMN47197937_00438	39.588	36.51	0.1806	0.0091	3.078	0.1714
