Genome,Country,Date,adc,hdc,agmatinase,odc,tdc
SAMN43010928,USA,1906,0,0,0,0,1
SAMN02369435,NA,1923,0,0,0,0,0
SAMN06447729,Japan,1934,0,0,0,0,0
SAMN10365589,USA,1941,0,0,0,0,0
SAMN29907571,USA,1945,0,0,0,0,0
SAMN23026586,USA,1952,0,0,0,1,0
SAMN37326200,USA,1953,0,0,0,0,0
SAMN04892856,NA,1954,0,0,0,1,0
SAMEA12928682,United Kingdom,1964,0,0,0,1,0
SAMN10365309,USA,1964,0,0,0,1,0
SAMN05912986,NA,1965,0,0,0,0,0
SAMN05920237,NA,1965,0,0,0,0,0
SAMN07459897,Germany,1965,0,0,0,0,0
SAMN10365305,France,1965,0,0,0,1,0
SAMN10365473,NA,1965,0,0,0,0,0
SAMN10365482,NA,1965,0,0,0,0,0
SAMN14262734,Germany,1967,0,0,0,0,0
SAMN04892861,Switzerland,1968,0,0,0,1,0
SAMN11309554,Japan,1970,0,0,0,1,0
SAMN10365448,Japan,1971,0,0,0,1,0
SAMN10365587,France,1971,0,0,0,0,0
SAMN10365519,France,1972,0,0,0,1,0
SAMN10365594,France,1972,0,0,0,0,0
SAMN10365600,France,1972,0,0,0,0,0
SAMN37326201,USA,1972,0,0,0,0,0
SAMN43010929,USA,1974,0,0,0,0,1
SAMN02469944,Canada,1976,0,0,0,1,0
SAMN10365520,France,1978,0,0,0,1,0
SAMN10365565,France,1980,0,0,0,0,0
SAMEA104285100,NA,1981,0,0,0,0,0
SAMN05913067,NA,1981,0,0,0,1,0
SAMN02369389,NA,1983,0,0,0,1,0
SAMN02369427,NA,1983,0,0,0,1,0
SAMN02797799,NA,1983,0,0,0,0,0
SAMN03105774,Netherlands,1983,0,0,0,0,0
SAMN05913070,NA,1983,0,0,0,1,0
SAMN09649875,Argentina,1985,0,0,0,0,0
SAMN16675138,Switzerland,1985,0,0,0,0,0
SAMN07357495,USA,1986,0,0,0,1,0
SAMN33336516,NA,1986,1,0,1,0,0
SAMEA115843629,Spain,1987,0,0,0,0,0
SAMN03083847,Argentina,1987,0,0,0,0,0
SAMN10365474,Egypt,1987,0,0,0,0,0
SAMN10365504,Egypt,1987,0,0,0,1,0
SAMN10365506,Egypt,1987,0,0,0,1,0
SAMN10365507,Egypt,1987,0,0,0,1,0
SAMN10365577,Spain,1987,0,0,0,0,0
SAMN37405141,Sweden,1988,0,0,0,1,0
SAMN11653945,Switzerland,1989,0,0,0,1,0
SAMN14517828,NA,1989,0,0,0,0,0
SAMN23827470,Bulgaria,1989,0,0,0,1,0
SAMN41885424,Germany,1989,0,0,0,0,0
