genome	locus_tag	gene_gc_percent	genome_gc_percent	gene_gc_skew	genome_gc_skew	gc_diff	skew_diff
GCF_009498395	SAMN12670384_01337	37.196	36.925	0.1103	0.0226	0.271	0.0877
GCF_018141205	SAMN18687446_01336	52.483	46.794	-0.0755	-0.0034	5.689	-0.0722
GCF_003436835	SAMN09736943_00594	53.284	45.424	0.0528	0.0827	7.86	-0.0299
GCF_028309125	SAMN31135162_00785	40.353	37.725	0.0556	-0.096	2.628	0.1516
GCF_040720955	SAMN42394296_01523	35.143	33.701	0.1545	-0.145	1.442	0.2994
GCF_035330705	SAMN38650142_01066	49.928	46.369	-0.1073	-0.0014	3.559	-0.1059
GCF_028878245	SAMN23708199_01198	52.436	47.095	-0.0783	0.0312	5.341	-0.1095
GCF_025449355	SAMN30915630_00928	39.503	38.218	0.0652	-0.0008	1.285	0.066
GCF_022588775	SAMN22548461_01823	49.88	46.4	-0.1083	-0.0017	3.481	-0.1066
GCF_046523885	SAMN40877143_00645	35.476	33.0	0.1517	0.0041	2.476	0.1476
GCF_035757545	SAMN39327662_00527	55.651	49.537	-0.148	-0.0021	6.115	-0.1459
GCF_028656255	SAMN33144269_01459	35.0	34.341	0.1646	0.1394	0.659	0.0252
GCF_023674545	SAMN28818858_01780	49.928	46.354	-0.1054	0.0016	3.574	-0.1069
GCF_963227645	SAMEA114249605_02023	38.123	35.097	0.0754	0.0048	3.026	0.0706
GCF_001314245	SAMN04121884_00053	35.375	36.824	0.0926	-0.0041	-1.448	0.0967
GCF_030434015	SAMN36269764_01583	35.429	33.189	0.1559	-0.0098	2.24	0.1657
GCF_045256935	SAMN44671256_01840	49.88	46.253	-0.1064	0.0029	3.627	-0.1093
GCA_023563625	SAMN28229336_00949	48.772	40.62	0.0378	-0.0455	8.152	0.0833
GCF_006384175	SAMN09303046_01224	40.21	38.191	0.0594	-0.0012	2.019	0.0606
GCF_030434115	SAMN36270139_01775	35.381	33.177	0.144	-0.0073	2.204	0.1514
GCF_042714325	SAMN43713931_00148	35.238	32.983	0.1622	-0.0015	2.255	0.1637
GCF_005796045	SAMN11638139_01325	51.65	48.327	-0.0907	0.0693	3.323	-0.16
GCF_041226265	SAMN40593499_00829	43.546	39.703	0.0727	-0.1207	3.843	0.1934
GCF_003712345	SAMN04088866_01627	49.928	46.484	-0.1054	-0.0703	3.444	-0.035
GCF_016742775	SAMN17079224_00295	48.253	41.717	0.0431	0.1134	6.536	-0.0704
GCF_001011095	SAMN02584770_00147	35.524	32.953	0.1501	0.0015	2.57	0.1487
GCF_003177075	SAMN09239981_01605	49.833	46.594	-0.1075	-0.0025	3.239	-0.1049
GCF_046581425	SAMN45068457_01727	49.88	46.29	-0.1064	0.0013	3.59	-0.1077
GCF_001888965	SAMN06066454_00492	55.939	50.079	-0.1438	0.0001	5.859	-0.1439
GCF_042187675	SAMN18490512_00547	55.508	48.827	-0.1475	-0.0017	6.681	-0.1458
GCF_042449115	SAMN43834269_01656	49.976	46.38	-0.112	-0.0011	3.596	-0.1108
GCF_001434295	SAMN02369386_01660	39.613	37.514	0.0346	-0.0801	2.099	0.1147
GCF_024397675	SAMN29762452_00158	35.238	33.034	0.173	0.0045	2.205	0.1685
GCF_042715415	SAMN43713932_00163	35.048	33.054	0.1495	0.0068	1.994	0.1426
GCF_030581895	SAMN26030949_00484	55.699	49.763	-0.1436	-0.0021	5.936	-0.1415
GCF_036245435	SAMD00627881_00389	39.281	37.778	0.0667	0.0935	1.503	-0.0269
GCF_025194645	SAMN10365305_00882	37.249	33.208	0.1256	0.122	4.041	0.0037
GCF_003610975	SAMN05751674_01279	37.387	37.092	0.1122	-0.0011	0.295	0.1134
GCF_033405435	SAMN37983922_01790	43.404	40.99	0.0697	-0.0079	2.414	0.0776
GCF_008016915	SAMN11812292_01252	35.333	33.373	0.1536	0.1471	1.961	0.0066
GCF_002000885	SAMN05357477_00546	55.699	49.605	-0.1436	0.0008	6.095	-0.1444
GCF_015669875	SAMN15532490_00097	37.835	35.567	0.1063	0.1183	2.268	-0.012
GCF_021398395	SAMN18972587_01358	39.458	37.801	0.0641	0.0053	1.657	0.0588
GCF_004078555	SAMN10742272_01606	49.833	46.518	-0.1056	0.0007	3.315	-0.1063
GCF_028622795	SAMN33198791_00136	53.185	43.405	0.0585	-0.0002	9.781	0.0587
GCF_003199005	SAMN09283999_02721	49.88	46.311	-0.1064	0.0032	3.569	-0.1096
GCF_020149995	SAMN21449406_01102	40.162	38.108	0.0583	0.0011	2.054	0.0572
GCF_015557825	SAMN15533109_02103	52.292	47.592	-0.0758	-0.0862	4.7	0.0104
GCF_014893475	SAMN16383752_00273	48.395	43.972	0.04	-0.1113	4.422	0.1513
GCF_001908415	SAMN06074288_00500	55.268	49.459	-0.1456	0.005	5.81	-0.1506
GCF_028609745	SAMN14686377_01796	49.785	46.321	-0.1066	-0.0012	3.464	-0.1054
GCF_030418055	SAMN36288183_02488	49.928	46.25	-0.1073	-0.0785	3.679	-0.0287
GCF_012027835	SAMN11022472_01267	48.395	41.673	0.0459	0.1008	6.722	-0.055
GCF_030770265	SAMN36868838_01546	51.267	48.017	-0.0784	-0.0028	3.25	-0.0755
GCF_035231985	SAMN33215311_00158	34.524	33.244	0.1614	0.0127	1.28	0.1487
GCF_001434705	SAMN02369462_02011	63.937	57.319	-0.0846	0.0429	6.618	-0.1276
GCF_001191565	SAMN03892742_01576	49.737	46.576	-0.1154	-0.0009	3.161	-0.1144
GCF_024125465	SAMN28984274_01325	34.619	33.351	0.1664	0.1522	1.268	0.0143
GCF_000735255	SAMN02840977_00365	52.197	46.754	-0.0759	-0.0062	5.443	-0.0698
GCF_001888945	SAMN06074289_00468	55.316	50.047	-0.1498	0.0011	5.269	-0.1508
GCF_016599675	SAMN17141195_01606	52.245	46.767	-0.0841	-0.001	5.478	-0.0831
GCF_020992235	SAMN23026586_02207	49.88	46.414	-0.1064	0.001	3.467	-0.1074
GCF_034479775	SAMN38796418_00368	39.494	37.383	0.1415	0.0017	2.11	0.1398
GCF_028206475	SAMN32670666_02224	49.928	46.37	-0.1034	-0.0035	3.558	-0.0999
GCF_045271595	SAMN44630404_01636	49.976	46.617	-0.112	-0.0011	3.359	-0.1109
GCF_963227695	SAMEA114249612_01718	36.877	35.199	0.0727	0.0125	1.678	0.0602
GCF_028609725	SAMN14677579_01515	49.976	46.299	-0.11	0.0088	3.677	-0.1189
GCF_004114755	SAMN10782597_00869	37.434	36.809	0.1108	0.0055	0.626	0.1053
GCF_018363095	SAMN19017040_00233	51.315	47.919	-0.0792	0.0007	3.396	-0.0799
GCF_002736025	SAMN07807134_00860	35.286	33.031	0.1552	-0.0039	2.255	0.1591
GCF_030263175	SAMN18325119_01572	35.524	34.029	0.1501	-0.1448	1.495	0.295
GCF_000182855	SAMN02603306_01076	40.21	38.195	0.0618	0.0157	2.015	0.046
GCF_003795255	SAMN09270688_00856	50.072	46.529	-0.1041	-0.0034	3.542	-0.1007
GCF_040969805	SAMN42657848_01393	38.745	36.611	0.0803	-0.0019	2.134	0.0823
GCF_001988935	SAMN04404358_00813	52.292	46.844	-0.0758	0.0014	5.448	-0.0772
GCF_002849935	SAMN04892754_01259	37.434	37.087	0.1083	-0.0053	0.348	0.1135
GCF_002142575	SAMN06812572_01554	55.843	49.876	-0.1441	-0.0022	5.967	-0.1419
GCF_030169145	SAMN34261673_00187	35.476	32.971	0.1517	0.0126	2.505	0.1391
