genome	locus_tag	gene_gc_percent	genome_gc_percent	gene_gc_skew	genome_gc_skew	gc_diff	skew_diff
GCF_047549495	SAMN46493273_01968	42.671	37.084	0.1634	-0.0095	5.587	0.1729
GCF_048685875	SAMN47197937_00440	39.576	36.51	0.1012	0.0091	3.066	0.0921
GCF_034427075	SAMN38750239_00029	40.047	35.786	0.0941	-0.1092	4.261	0.2034
GCF_040104775	SAMN41597615_01156	39.929	35.243	0.0914	-0.1311	4.686	0.2226
GCF_045866345	SAMD00803709_00622	39.929	36.532	0.1032	-0.0	3.397	0.1033
GCF_022806895	SAMN18060127_02042	40.047	35.4	0.1	0.1374	4.648	-0.0374
GCF_022806915	SAMN18060126_01714	40.047	35.442	0.1	-0.1374	4.605	0.2374
GCF_034426815	SAMN38750238_01604	39.694	35.944	0.1039	0.1297	3.75	-0.0258
GCF_034426935	SAMN38750241_01159	40.047	35.584	0.1	-0.131	4.463	0.231
GCF_034425235	SAMN38750259_01891	40.047	36.271	0.1	-0.1282	3.776	0.2282
GCF_040104975	SAMN41597605_01382	39.576	35.929	0.1012	-0.1314	3.647	0.2326
GCF_030371645	SAMN34359462_01076	40.047	36.069	0.1	0.1232	3.978	-0.0232
GCF_029023825	SAMN33336516_02588	42.908	37.042	0.157	-0.0028	5.865	0.1598
